id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
1,1,1,4,85,12,2700,253,52,305,34,302,1
2,2,0,0,86,4,2701,197,124,321,33,315,1
3,3,4,4,85,1,2702,40,60,100,18,83,1
4,4,0,0,86,5,2703,200,119,319,30,303,1
5,5,0,0,86,4,2704,140,94,234,24,208,1
6,6,0,0,86,4,2705,97,89,186,38,192,1
7,7,2,1,85,9,2706,119,42,161,25,145,2
8,8,1,2,83,13,2707,186,52,238,25,214,1
9,9,3,1,85,12,2708,172,88,260,30,247,1
10,10,3,4,83,4,2709,78,38,116,24,103,1
11,11,4,1,84,21,2710,167,99,266,24,237,1
12,12,2,1,84,17,2711,146,112,258,40,271,1
13,13,1,1,84,3,2712,33,72,105,19,88,1
14,14,3,4,85,8,2713,162,61,223,32,216,1
15,15,4,4,85,9,2714,223,121,344,28,320,1
16,16,3,2,85,8,2715,119,48,167,26,152,2
17,17,4,3,85,8,2716,57,43,100,43,108,1
18,18,4,4,86,14,2717,68,316,384,20,326,2
19,19,3,4,87,14,2718,9,386,395,21,340,2
20,20,4,2,86,5,2719,58,34,92,29,86,1
21,21,4,4,86,12,2720,318,269,587,34,581,2
22,22,2,4,85,18,2721,88,170,258,34,255,1
23,23,2,4,86,5,2722,306,132,438,37,447,1
24,24,4,1,87,20,2723,304,78,382,39,397,1
25,25,1,4,86,8,2724,89,200,289,33,283,1
26,26,4,1,85,14,2725,86,230,316,33,310,1
27,27,2,0,86,6,2726,71,235,306,37,312,1
28,28,3,1,85,14,2727,148,324,472,39,491,1
29,29,4,4,85,16,2728,116,170,286,27,263,1
30,30,4,1,85,14,2729,175,277,452,37,461,1
31,31,4,3,86,6,2730,79,128,207,27,190,1
32,32,1,1,86,9,2731,145,38,183,27,168,3
33,33,4,4,87,9,2732,174,78,252,41,267,3
34,34,1,1,85,5,2733,194,91,285,35,285,1
35,35,2,2,88,3,2734,126,49,175,38,180,3
36,36,1,3,86,17,2735,317,119,436,34,432,2
37,37,2,4,87,11,2736,289,88,377,28,351,3
38,38,-1,-1,87,8,2737,260,144,404,24,360,1
39,39,1,4,88,4,2738,158,59,217,18,180,3
40,40,3,3,88,16,2739,302,145,447,52,523,2
41,41,1,1,87,9,2740,451,48,499,28,464,1
42,42,2,4,87,34,2741,661,132,793,23,698,3
43,43,1,1,88,10,2742,64,54,118,25,106,1
44,44,-1,4,86,39,2743,284,230,514,50,591,1
45,45,2,1,86,18,2744,182,126,308,35,308,1
46,46,2,3,87,27,2745,173,332,505,19,424,1
47,47,2,2,88,9,2746,252,7,259,28,241,1
48,48,4,3,85,11,2747,131,180,311,51,361,1
49,49,2,3,85,8,2748,106,39,145,6,103,1
50,50,3,3,85,9,2749,96,108,204,29,192,1
51,51,2,3,85,7,2750,116,72,188,18,156,1
52,52,3,3,85,6,2751,86,49,135,32,131,1
53,53,2,3,85,17,2752,221,121,342,35,342,1
54,54,1,1,87,12,2753,61,96,157,18,130,1
